,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1000,0.95127,0.08052,999.85881,-100.42078,-0.17714,7-11,-1.68847,1.87604,5473.00269,-89186.07310,True,False,-2.50708
1001,2.82963,-2.00267,999.98656,-100.05981,4.40588,Biblioteket,-0.45381,-0.24153,5479.19567,-89186.59844,True,False,91.47468
1002,0.05611,0.65553,999.79427,-100.66632,-1.44217,7-11,-1.12608,-1.11587,5473.95363,-89185.71706,True,False,-47.29741
1003,0.27848,0.49158,999.85666,-100.46391,-1.08149,Östra Station,-0.14578,0.02828,5473.49829,-89186.14567,True,False,-36.14749
1004,2.92028,-2.09439,999.78277,-100.68083,4.60766,Biblioteket,-2.59635,-3.91031,5474.17895,-89184.31898,True,False,95.90548
1005,0.84728,0.17953,999.72835,-100.79385,-0.39498,Lindstedvägen 24,3.06449,4.45097,5474.21784,-89185.06248,True,False,-7.77201
1006,0.38140,0.75663,999.87264,-100.46496,-1.66458,Östra Station,1.28881,-1.05926,5473.05097,-89184.07764,True,False,-30.99355
1007,0.30154,1.07443,999.75803,-100.69864,-2.36375,Östra Station,0.36028,0.10959,5475.16255,-89186.61297,True,False,-35.04376
1008,-0.70998,1.68281,999.82320,-100.52518,-3.70218,Lindstedvägen 24,1.08520,-0.75811,5474.89875,-89186.00006,True,False,-85.58728
1009,0.22707,0.81782,999.90539,-100.29859,-1.79920,7-11,2.28797,-1.64968,5473.46937,-89186.15281,True,False,-38.69391
1010,0.99130,0.09293,999.74038,-100.81644,-0.20445,Lindstedvägen 24,0.26708,-0.59405,5473.70219,-89189.36519,True,False,-0.56495
1011,1.62632,-0.69487,999.73681,-100.85524,1.52871,Biblioteket,0.09293,-0.76729,5475.51366,-89185.71921,True,False,31.18440
1012,1.82129,-0.75493,999.82385,-100.54845,1.66084,Syster och Bro,1.03524,-0.03016,5477.78338,-89186.23936,True,False,40.97632
1013,0.20670,1.11133,999.79228,-100.61648,-2.44493,7-11,1.37177,-0.92575,5475.86391,-89187.07114,True,False,-39.76892
1014,1.41788,-0.45932,999.80564,-100.65583,1.01050,Syster och Bro,-1.16557,1.83961,5474.13606,-89186.79228,True,False,20.79705
1015,0.62281,0.51849,999.83640,-100.52671,-1.14069,Östra Station,-0.64764,2.09417,5479.26006,-89187.26835,True,False,-18.94125
1016,1.21635,-0.26788,999.93584,-100.26231,0.58933,Alfvensalen,-0.03992,-3.00824,5474.08928,-89187.10605,True,False,10.78550
1017,1.06041,-0.18329,999.74147,-100.78013,0.40325,Entré,1.61053,-0.35509,5473.53693,-89184.34530,True,False,2.89104
1018,0.60121,0.61442,999.96137,-100.15755,-1.35173,7-11,-2.47620,-0.03223,5474.32051,-89186.60107,True,False,-19.95882
1019,2.17929,-1.37251,999.92743,-100.24073,3.01953,Biblioteket,-0.62449,2.26852,5472.64833,-89185.71107,True,False,58.92818
1020,1.41809,-0.51128,999.69748,-100.95701,1.12482,Biblioteket,-0.90383,0.58866,5474.00534,-89185.53839,True,False,20.75318
1021,0.66276,0.29598,999.71005,-100.86884,-0.65115,Lindstedvägen 24,2.40603,-0.65790,5474.28198,-89184.57127,True,False,-17.00720
1022,0.75083,0.37036,999.84079,-100.47683,-0.81479,7-11,0.45739,0.36343,5474.68555,-89184.71369,True,False,-12.53817
1023,-0.00131,1.11903,999.84662,-100.44018,-2.46186,Alfvensalen,-1.81596,-2.14874,5474.31903,-89186.82100,True,False,-50.14228
1024,0.88520,0.52526,999.96339,-100.14089,-1.15557,7-11,1.05394,1.31959,5473.74932,-89184.96081,True,False,-5.75842
1025,2.72217,-1.63106,999.83885,-100.49320,3.58833,Biblioteket,-0.65461,0.04237,5472.07427,-89185.71299,True,False,86.02780
1026,0.58440,0.28669,999.68579,-100.93724,-0.63073,Lindstedvägen 24,1.39523,-0.06507,5474.38419,-89187.22979,True,False,-20.93724
1027,0.94226,0.11456,999.76255,-100.72277,-0.25202,Lindstedvägen 24,0.35341,0.10581,5477.17368,-89184.89207,True,False,-3.00579
1028,1.64102,-0.39635,999.86222,-100.43437,0.87196,Lindstedvägen 24,0.74625,1.11613,5474.76169,-89184.65212,True,False,31.98187
1029,0.51155,0.54489,999.98267,-100.07388,-1.19875,7-11,0.60681,0.02249,5474.35719,-89185.60747,True,False,-24.43118
1030,0.56836,0.40962,999.73764,-100.77812,-0.90117,Alfvensalen,0.85362,-1.12810,5473.20833,-89185.38913,True,False,-21.71326
