,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
0,Conradt,-1.21476,2.36631,999.85491,-100.47222,-5.20588,Biblioteket,-0.60884,0.42060,5481.44463,-89188.19317,True,False,-110.81076
1,Sturm,1.32069,-0.10317,999.77385,-100.67122,0.22698,Lindstedvägen 24,1.15063,1.23894,5475.99768,-89186.54370,True,False,15.92134
2,Conradt,0.49116,0.35713,999.84774,-100.46616,-0.78568,7-11,0.38591,2.03416,5474.49741,-89185.05066,True,False,-25.51807
3,Maki,0.50660,0.60270,999.85736,-100.43474,-1.32594,Östra Station,0.11749,0.88389,5473.18079,-89185.52627,True,False,-24.74115
4,Sturm,1.11105,-0.08723,999.74076,-100.75880,0.19190,Entré,2.22244,-1.00673,5473.36101,-89186.24343,True,False,5.42279
5,Sturm,0.03362,0.80136,999.67818,-100.92845,-1.76300,7-11,-1.60138,1.11886,5474.68403,-89185.63807,True,False,-48.48016
6,Sturm,3.29984,-2.54539,999.97411,-100.08962,5.59985,Biblioteket,0.99633,-1.10415,5472.31453,-89185.24909,True,False,114.97895
7,Maki,1.45143,-0.36320,999.86937,-100.41622,0.79904,Lindstedvägen 24,0.58428,-0.31651,5471.96857,-89186.33267,True,False,22.50628
8,Conradt,2.50881,-1.46947,999.72950,-100.81105,3.23283,Biblioteket,1.57258,1.38925,5475.68477,-89187.46875,True,False,75.30529
9,Maki,2.26740,-1.16743,999.85687,-100.45646,2.56834,Biblioteket,-0.03866,0.72035,5473.45526,-89184.29212,True,False,63.29862
10,Conradt,-0.10283,1.02642,999.72714,-100.82885,-2.25813,Östra Station,-0.71450,0.92956,5474.74541,-89186.29163,True,False,-55.27811
11,Sturm,0.58239,0.50371,999.75557,-100.72271,-1.10815,7-11,-0.01502,0.53845,5473.61059,-89183.07759,True,False,-21.00250
12,Sturm,0.80626,0.18278,999.83898,-100.54440,-0.40212,Alfvensalen,2.03806,-2.15858,5475.22085,-89185.15608,True,False,-9.76731
13,Sturm,0.28948,0.67169,999.78994,-100.61190,-1.47772,Östra Station,-0.35929,1.02626,5475.39508,-89185.03271,True,False,-35.63127
14,Sturm,0.82200,0.06146,999.96825,-100.14647,-0.13522,Östra Station,-2.97045,0.20373,5472.88459,-89186.81121,True,False,-8.91565
15,Sturm,1.20537,-0.44988,999.64030,-101.11840,0.98973,Biblioteket,-0.52120,1.19820,5474.31606,-89186.61980,True,False,10.08890
16,Sturm,1.53678,-0.58969,999.79261,-100.66948,1.29733,Syster och Bro,-0.49525,-1.80780,5475.80709,-89188.08861,True,False,26.73537
17,Conradt,0.21608,0.89043,999.75396,-100.70916,-1.95894,Östra Station,3.51714,2.26345,5475.69551,-89185.62307,True,False,-39.31914
18,Conradt,-0.40633,1.23673,999.86844,-100.44860,-2.72081,Alfvensalen,-0.17157,0.62341,5474.14250,-89186.18600,True,False,-70.38230
19,Maki,1.53021,-0.68115,999.87823,-100.37240,1.49852,Entré,-1.25319,0.09047,5476.56603,-89185.75175,True,False,26.44977
20,Conradt,1.38793,-0.51468,999.90922,-100.26957,1.13229,Lindstedvägen 24,0.76307,1.13940,5481.26582,-89188.64920,True,False,19.35135
21,Conradt,-0.48630,1.52778,999.71339,-100.87659,-3.36111,7-11,-0.32766,-0.66936,5476.86571,-89187.98331,True,False,-74.45837
22,Conradt,0.78697,0.27491,999.69719,-100.92670,-0.60481,Lindstedvägen 24,-0.35964,-1.67000,5475.86740,-89184.28669,True,False,-10.80290
23,Maki,2.51367,-1.53348,999.82319,-100.53037,3.37366,Biblioteket,0.69090,0.63207,5478.05831,-89185.27647,True,False,75.59510
24,Sturm,2.09929,-1.30524,999.70088,-100.95318,2.87154,Biblioteket,0.49550,-0.58041,5474.79313,-89185.07766,True,False,54.81478
25,Conradt,0.64709,0.56229,999.77941,-100.65874,-1.23704,7-11,-1.22630,0.14419,5478.68221,-89188.08382,True,False,-17.75573
26,Sturm,2.45767,-1.59838,999.88362,-100.35836,3.51645,Biblioteket,0.33699,-0.55591,5474.74947,-89187.85432,True,False,72.82545
27,Sturm,-0.26429,1.06734,999.65607,-101.04811,-2.34814,7-11,2.67053,-1.12284,5474.64662,-89185.54362,True,False,-63.38639
28,Conradt,0.50374,0.35985,999.70152,-100.90306,-0.79166,Lindstedvägen 24,2.39926,-0.77464,5474.62315,-89184.88617,True,False,-24.96226
29,Conradt,2.20756,-1.08264,999.88971,-100.35297,2.38181,Syster och Bro,-0.59821,2.09242,5474.51289,-89185.77696,True,False,60.32268
30,Sturm,1.31916,-0.33147,999.95985,-100.17226,0.72922,Alfvensalen,-0.46053,2.40059,5476.06701,-89186.26644,True,False,15.93774
31,Conradt,-0.60330,1.60612,999.74988,-100.77805,-3.53347,Alfvensalen,1.55541,1.43596,5473.94636,-89184.73537,True,False,-80.29015
32,Sturm,0.78703,0.33161,999.94979,-100.18632,-0.72955,Östra Station,-1.24068,-0.99921,5471.57585,-89187.41399,True,False,-10.67354
33,Conradt,0.34823,0.47785,999.75423,-100.72379,-1.05128,7-11,0.23038,-0.37428,5475.62752,-89183.62680,True,False,-32.71160
34,Maki,0.38371,0.36604,999.84227,-100.49448,-0.80529,7-11,-0.01456,0.79143,5478.69147,-89183.81396,True,False,-30.89359
35,Sturm,1.36447,-0.48606,999.68934,-100.89441,1.06933,Biblioteket,-0.09382,1.24493,5473.86587,-89188.19348,True,False,18.06817
36,Maki,0.33226,0.52072,999.97025,-100.13677,-1.14559,7-11,-0.23382,0.10182,5474.06435,-89185.21297,True,False,-33.40197
37,Sturm,-0.63962,1.75264,999.94274,-100.23307,-3.85580,Syster och Bro,-0.02483,1.68165,5470.54924,-89185.02052,True,False,-82.00947
38,Sturm,0.43749,0.26480,999.76061,-100.73993,-0.58255,Alfvensalen,-1.49966,1.23299,5474.24109,-89186.12154,True,False,-28.24510
39,Conradt,0.15964,0.76623,999.69547,-100.92916,-1.68572,7-11,-0.21991,-0.53045,5475.35749,-89183.21098,True,False,-42.17002
40,Conradt,0.73827,0.29958,999.77127,-100.71879,-0.65908,Alfvensalen,0.87946,0.67464,5475.83510,-89185.45939,True,False,-13.20090
41,Sturm,0.08279,0.90901,999.91766,-100.30862,-1.99983,7-11,-3.61052,3.66049,5476.11509,-89185.08877,True,False,-45.90144
42,Sturm,-0.36537,1.53889,999.64784,-101.05001,-3.38557,Östra Station,0.84542,1.87610,5473.35092,-89184.14154,True,False,-68.44463
43,Sturm,1.35897,-0.41739,999.76819,-100.76462,0.91825,Syster och Bro,-1.18428,-1.81054,5473.45369,-89187.58485,True,False,17.83250
44,Maki,-0.64036,1.64402,999.83656,-100.50083,-3.61685,Lindstedvägen 24,0.28121,0.80461,5476.45455,-89187.13359,True,False,-82.09980
45,Conradt,2.25842,-1.24395,999.81459,-100.59183,2.73669,Biblioteket,-1.68457,-1.02443,5475.38577,-89186.24819,True,False,62.82828
46,Conradt,-0.57209,1.29971,999.78174,-100.67615,-2.85936,7-11,-0.18713,-3.14395,5476.44357,-89188.37948,True,False,-78.71387
47,Conradt,0.06566,0.76108,999.78969,-100.66909,-1.67438,Östra Station,-0.30117,-1.60787,5476.66175,-89184.64927,True,False,-46.82193
48,Sturm,2.73820,-1.83229,999.78121,-100.63072,4.03103,Biblioteket,-1.52654,-0.55811,5474.26402,-89186.13458,True,False,86.80047
49,Sturm,1.11454,-0.09584,999.70264,-100.85680,0.21085,Syster och Bro,0.53051,-0.71063,5474.27764,-89186.98655,True,False,5.57851
50,Conradt,0.70163,0.28964,999.72340,-10000000.82589,-0.63722,Alfvensalen,0.69627,-1.34523,5474.60753,-89183.98201,True,False,-15.05697
51,Conradt,0.27354,0.75832,999.91073,-100.28450,-1.66830,7-11,-0.22118,0.49332,5479.22696,-89187.97157,True,False,-36.36757
52,Sturm,0.57274,0.35318,999.64723,-101.07649,-0.77699,Entré,0.45217,0.58892,5474.58827,-89184.28681,True,False,-21.53928
