,x1,x2,x3,x4,x5,x7,x8,x9,x10,x13,x6_alfvensalen,x6_biblioteket,x6_entré,x6_lindstedvägen 24,x6_syster och bro,x6_östra station
1,1.32069,-0.10317,999.77385,-100.67121999999999,0.22698000000000002,1.1506299999999998,1.23894,5475.9976799999995,-89186.5437,15.92134,0,0,0,1,0,0
2,0.49116,0.35713,999.84774,-100.46616,-0.78568,0.38591,2.03416,5474.49741,-89185.05066000001,-25.51807,0,0,0,0,0,0
3,0.5066,0.6027,999.85736,-100.43474,-1.32594,0.11749000000000001,0.88389,5473.180789999999,-89185.52627,-24.74115,0,0,0,0,0,1
5,0.03362,0.8013600000000001,999.6781800000001,-100.92845,-1.763,-1.60138,1.11886,5474.684029999999,-89185.63807,-48.48016,0,0,0,0,0,0
6,3.29984,-2.5453900000000003,999.97411,-100.08962,5.59985,0.9963299999999999,-1.10415,5472.31453,-89185.24909,114.97895,0,1,0,0,0,0
7,1.45143,-0.3632,999.8693699999999,-100.41622,0.79904,0.58428,-0.31651,5471.96857,-89186.33267,22.50628,0,0,0,1,0,0
8,2.50881,-1.46947,999.7295,-100.81105,3.23283,1.5725799999999999,1.38925,5475.68477,-89187.46875,75.30529,0,1,0,0,0,0
9,2.2674,-1.16743,999.85687,-100.45645999999999,2.56834,-0.03866,0.72035,5473.45526,-89184.29212,63.29862,0,1,0,0,0,0
10,-0.10283,1.02642,999.7271400000001,-100.82885,-2.25813,-0.7145,0.92956,5474.74541,-89186.29162999999,-55.27811,0,0,0,0,0,1
11,0.58239,0.50371,999.7555699999999,-100.72270999999999,-1.10815,-0.015019999999999999,0.53845,5473.61059,-89183.07759,-21.0025,0,0,0,0,0,0
12,0.80626,0.18278,999.8389800000001,-100.5444,-0.40212,2.0380599999999998,-2.1585799999999997,5475.22085,-89185.15608,-9.76731,1,0,0,0,0,0
13,0.28948,0.67169,999.78994,-100.6119,-1.4777200000000001,-0.35929,1.02626,5475.395079999999,-89185.03271,-35.63127,0,0,0,0,0,1
14,0.822,0.06146,999.96825,-100.14647,-0.13522,-2.97045,0.20373,5472.88459,-89186.81121,-8.91565,0,0,0,0,0,1
15,1.20537,-0.44988,999.6403,-101.1184,0.9897299999999999,-0.5212,1.1982,5474.31606,-89186.6198,10.0889,0,1,0,0,0,0
16,1.53678,-0.5896899999999999,999.79261,-100.66948000000001,1.2973299999999999,-0.49525,-1.8078,5475.80709,-89188.08861,26.73537,0,0,0,0,1,0
17,0.21608,0.8904299999999999,999.75396,-100.70916,-1.9589400000000001,3.51714,2.26345,5475.6955100000005,-89185.62307,-39.31914,0,0,0,0,0,1
18,-0.40633,1.2367299999999999,999.8684400000001,-100.4486,-2.7208099999999997,-0.17157,0.62341,5474.1425,-89186.186,-70.3823,1,0,0,0,0,0
21,-0.4863,1.52778,999.71339,-100.87659000000001,-3.36111,-0.32766,-0.6693600000000001,5476.86571,-89187.98331,-74.45837,0,0,0,0,0,0
22,0.78697,0.27491,999.6971900000001,-100.9267,-0.6048100000000001,-0.35964,-1.67,5475.8674,-89184.28669,-10.8029,0,0,0,1,0,0
23,2.51367,-1.53348,999.8231900000001,-100.53036999999999,3.3736599999999997,0.6909,0.63207,5478.05831,-89185.27647000001,75.5951,0,1,0,0,0,0
24,2.09929,-1.30524,999.7008800000001,-100.95318,2.87154,0.4955,-0.58041,5474.79313,-89185.07766,54.81478,0,1,0,0,0,0
25,0.64709,0.56229,999.77941,-100.65874000000001,-1.23704,-1.2263,0.14419,5478.68221,-89188.08382,-17.75573,0,0,0,0,0,0
26,2.45767,-1.59838,999.88362,-100.35836,3.51645,0.33699,-0.55591,5474.749470000001,-89187.85432,72.82545,0,1,0,0,0,0
27,-0.26429,1.06734,999.6560699999999,-101.04811,-2.3481400000000003,2.67053,-1.12284,5474.64662,-89185.54362000001,-63.38639,0,0,0,0,0,0
28,0.50374,0.35985,999.70152,-100.90306,-0.79166,2.39926,-0.77464,5474.62315,-89184.88617,-24.96226,0,0,0,1,0,0
29,2.20756,-1.08264,999.8897099999999,-100.35297,2.3818099999999998,-0.59821,2.09242,5474.51289,-89185.77696,60.32268,0,0,0,0,1,0
30,1.31916,-0.33147,999.95985,-100.17226,0.72922,-0.46053,2.4005900000000002,5476.06701,-89186.26643999999,15.93774,1,0,0,0,0,0
31,-0.6033,1.60612,999.7498800000001,-100.77805,-3.53347,1.55541,1.4359600000000001,5473.94636,-89184.73537000001,-80.29015,1,0,0,0,0,0
32,0.78703,0.33161,999.94979,-100.18632,-0.72955,-1.24068,-0.99921,5471.57585,-89187.41399,-10.67354,0,0,0,0,0,1
33,0.34823,0.47785,999.7542300000001,-100.72379000000001,-1.05128,0.23038000000000003,-0.37428,5475.62752,-89183.6268,-32.7116,0,0,0,0,0,0
34,0.38371,0.36604000000000003,999.8422699999999,-100.49448000000001,-0.80529,-0.01456,0.79143,5478.691470000001,-89183.81396,-30.89359,0,0,0,0,0,0
35,1.36447,-0.48606000000000005,999.68934,-100.89441,1.06933,-0.09382,1.2449299999999999,5473.8658700000005,-89188.19348,18.06817,0,1,0,0,0,0
36,0.33226,0.52072,999.97025,-100.13677,-1.1455899999999999,-0.23381999999999997,0.10182000000000001,5474.06435,-89185.21297000001,-33.40197,0,0,0,0,0,0
37,-0.63962,1.7526400000000002,999.9427400000001,-100.23307,-3.8558,-0.02483,1.68165,5470.54924,-89185.02052,-82.00947,0,0,0,0,1,0
38,0.43749,0.2648,999.7606099999999,-100.73993,-0.58255,-1.49966,1.23299,5474.2410899999995,-89186.12154,-28.2451,1,0,0,0,0,0
39,0.15964,0.76623,999.6954699999999,-100.92916,-1.68572,-0.21991,-0.53045,5475.357489999999,-89183.21097999999,-42.17002,0,0,0,0,0,0
40,0.73827,0.29958,999.77127,-100.71879,-0.65908,0.87946,0.67464,5475.8351,-89185.45939,-13.2009,1,0,0,0,0,0
41,0.08279,0.90901,999.91766,-100.30861999999999,-1.99983,-3.6105199999999997,3.6604900000000002,5476.11509,-89185.08877,-45.90144,0,0,0,0,0,0
42,-0.36537,1.5388899999999999,999.6478400000001,-101.05001,-3.3855699999999995,0.8454200000000001,1.8761,5473.35092,-89184.14154,-68.44463,0,0,0,0,0,1
43,1.35897,-0.41739,999.76819,-100.76462,0.91825,-1.18428,-1.81054,5473.45369,-89187.58485,17.8325,0,0,0,0,1,0
44,-0.64036,1.64402,999.83656,-100.50083000000001,-3.61685,0.28121,0.80461,5476.45455,-89187.13359,-82.0998,0,0,0,1,0,0
45,2.25842,-1.24395,999.8145900000001,-100.59183,2.7366900000000003,-1.6845700000000001,-1.02443,5475.38577,-89186.24819,62.82828,0,1,0,0,0,0
46,-0.57209,1.2997100000000001,999.78174,-100.67615,-2.8593599999999997,-0.18713,-3.14395,5476.44357,-89188.37947999999,-78.71387,0,0,0,0,0,0
47,0.06566,0.76108,999.7896900000001,-100.66909,-1.67438,-0.30117,-1.6078700000000001,5476.66175,-89184.64927000001,-46.82193,0,0,0,0,0,1
48,2.7382,-1.8322900000000002,999.78121,-100.63072,4.03103,-1.52654,-0.55811,5474.2640200000005,-89186.13458,86.80047,0,1,0,0,0,0
49,1.11454,-0.09584,999.7026400000001,-100.8568,0.21085,0.53051,-0.71063,5474.27764,-89186.98655,5.57851,0,0,0,0,1,0
51,0.27354,0.75832,999.9107300000001,-100.2845,-1.6683,-0.22118000000000002,0.49332,5479.22696,-89187.97157000001,-36.36757,0,0,0,0,0,0
53,1.20046,-0.3568,999.9432800000001,-100.21967,0.78496,-0.22651999999999997,-2.39472,5474.14719,-89186.3784,9.99489,1,0,0,0,0,0
54,1.35665,-0.16135,999.71591,-100.88421,0.35497,1.2435200000000002,-1.64625,5474.91208,-89185.81253,17.6907,0,0,0,0,1,0
55,1.13154,0.00985,999.7519599999999,-100.76556,-0.02168,1.13466,2.34497,5476.94905,-89187.69707000001,6.45286,0,0,0,1,0,0
56,1.06893,-0.06039,999.77434,-100.6912,0.13285999999999998,0.98688,-0.07386000000000001,5473.18772,-89185.76138,3.33352,0,0,0,1,0,0
57,1.23784,-0.26008000000000003,999.89768,-100.39508000000001,0.57217,0.9712299999999999,-1.2317,5473.35194,-89186.09144,11.84095,1,0,0,0,0,0
58,-0.01805,1.05196,999.726,-100.83769000000001,-2.31431,1.51842,-0.72195,5474.733179999999,-89183.2498,-51.03958,0,0,0,0,0,1
59,1.51588,-0.501,999.94416,-100.16996,1.1022100000000001,-1.1576799999999998,-1.7495900000000002,5475.22128,-89186.2024,25.76591,1,0,0,0,0,0
60,1.45516,-0.48945,999.7151,-100.83909,1.0767799999999998,-3.17068,0.6701,5479.64745,-89188.3321,22.61573,0,1,0,0,0,0
61,-0.22513,1.4989,999.72299,-100.83195,-3.2975800000000004,-0.66369,-0.27316,5478.91031,-89185.98871,-61.39516,0,0,0,0,0,0
62,0.12622,1.23183,999.76346,-100.74651999999999,-2.7100299999999997,0.80177,0.53198,5473.663820000001,-89185.2272,-43.80742,0,0,0,0,0,0
63,0.69683,0.31961,999.93555,-100.22586,-0.70314,0.6905100000000001,-0.19845,5474.51725,-89185.89172,-15.19063,0,0,0,0,0,1
64,1.60503,-0.46305,999.91033,-100.30977,1.01872,-0.5435300000000001,1.52585,5473.42741,-89185.97076,30.20691,0,0,0,1,0,0
65,0.18074,0.9151600000000001,999.8636,-100.39341999999999,-2.0133400000000004,-0.63129,-0.11814000000000001,5476.48288,-89187.24139,-41.03105,0,0,0,0,0,0
66,-0.02897,0.75942,999.8520300000001,-100.47019,-1.67072,0.10795999999999999,1.55964,5474.4273,-89186.43586,-51.52236,0,0,0,0,0,1
68,2.71255,-1.50515,999.87311,-100.45924000000001,3.3113300000000003,-0.97359,-0.37214,5472.51022,-89184.31762,85.56413,0,1,0,0,0,0
69,1.06981,-0.19604000000000002,999.64224,-101.08945,0.43128,1.6310200000000001,-1.3625200000000002,5472.13972,-89185.16367000001,3.31185,0,1,0,0,0,0
70,0.23596,0.79455,999.86503,-100.46194,-1.7480099999999998,-2.00012,-3.54134,5477.49751,-89187.92852,-38.2693,0,0,0,0,0,1
71,1.39163,-0.10412,999.91725,-100.26319000000001,0.22905999999999999,-1.13263,-0.76764,5475.65513,-89185.52921000001,19.54001,0,0,0,0,0,0
72,0.06161,1.0079200000000001,999.85366,-100.46229,-2.21742,0.27289,-0.39381,5473.25202,-89185.84062999999,-46.99244,0,0,0,0,0,0
74,0.99518,-0.03804,999.9467,-100.17388000000001,0.0837,-0.21914,0.298,5476.37957,-89187.73793999999,-0.26741,0,0,0,0,0,0
76,1.01211,0.11188,999.9095,-100.30136,-0.24614,-1.05808,0.79683,5475.56386,-89187.21766000001,0.56038,0,0,0,0,0,0
77,-0.83587,1.8365200000000002,999.7567300000001,-100.75074000000001,-4.04035,-0.969,0.32126,5472.1202,-89183.91184,-91.91498,0,0,0,1,0,0
78,1.98137,-0.87708,999.89386,-100.37044,1.92957,0.60193,1.4731100000000001,5477.070229999999,-89189.07664,49.01553,0,0,0,0,1,0
79,0.72328,0.22546999999999998,999.7371199999999,-100.81251999999999,-0.49604,-0.9716299999999999,0.012320000000000001,5474.63299,-89185.90314,-13.96728,0,0,0,1,0,0
80,1.19877,-0.079,999.8701,-100.4742,0.17379,0.5347,0.95015,5475.87347,-89186.44512,9.87352,1,0,0,0,0,0
82,3.85384,-2.82537,999.75689,-100.7158,6.21582,-0.32135,0.76828,5471.2565,-89185.65733,142.5704,0,1,0,0,0,0
83,0.58846,0.61678,999.87046,-100.4527,-1.35691,0.02543,-0.04827,5475.30908,-89186.65964,-20.64192,0,0,0,0,0,1
84,0.61773,0.44545,999.8657400000001,-100.38944000000001,-0.98,1.31369,1.23431,5475.2625100000005,-89186.08327,-19.18077,0,0,0,0,0,1
85,1.98667,-0.80662,999.8303099999999,-100.58708,1.77456,0.39144,1.11443,5473.61083,-89186.17682000001,49.24859,0,1,0,0,0,0
86,0.69338,0.36830999999999997,999.77346,-100.70293000000001,-0.81029,0.07656,0.6743,5475.45546,-89184.64974,-15.44421,1,0,0,0,0,0
87,-0.55687,1.53409,999.81927,-100.53845,-3.375,1.01699,1.05634,5477.04662,-89186.55611,-77.93389,1,0,0,0,0,0
88,0.65309,0.25383,999.71473,-100.87383,-0.5584399999999999,0.0198,-0.7092,5474.32863,-89187.93781,-17.4883,0,0,0,1,0,0
89,1.39857,-0.50202,999.65075,-101.05859,1.10445,0.81505,-0.93342,5472.24788,-89186.65372,19.75365,0,1,0,0,0,0
90,2.28881,-1.14658,999.9073400000001,-100.27606999999999,2.52247,-1.4011799999999999,1.6292200000000001,5478.6373,-89189.02626,64.39432,0,0,0,0,1,0
91,1.46539,-0.48503999999999997,999.7574599999999,-100.77920999999999,1.0670899999999999,-1.86188,-1.07371,5475.82418,-89185.62604,23.14831,0,0,0,0,1,0
92,1.38554,-0.39779000000000003,999.95495,-100.15928000000001,0.87515,1.0575299999999999,0.20072,5473.69468,-89188.20421,19.25462,1,0,0,0,0,0
93,0.35177,0.7802399999999999,999.8952400000001,-100.34562,-1.71652,0.24336999999999998,0.30107,5476.86695,-89187.72093,-32.46371,0,0,0,0,0,0
94,0.45351,0.30672,999.6198199999999,-101.18175,-0.67478,1.6168799999999999,-3.3017800000000004,5473.713220000001,-89185.61502000001,-27.51467,0,0,0,0,1,0
